V1,location_name,location_id,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths,cases
28703,Washington,570,3/23/20,439.1026912,420.6778289,460.9351316,111.0172534,108.1420395,114.2733772,103.1146011,100.6025658,105.585,4,4,4,74.2167421,66.35743421,82.82377193,19.17439993,18.23677632,20.24756579,121,121,121,0,0,0,0,0,0,2101,110
28704,Washington,570,3/24/20,469.9695216,449.6485526,492.515,127.4690441,124.2076974,130.8374342,118.3975402,115.7569079,121.2028289,11,11,11,73.75840732,65.84282895,82.31276316,21.12107437,19.99986842,22.38177632,132,132,132,0,0,0,0,0,0,2469,123
28705,Washington,570,3/25/20,510.1639671,489.3036842,533.3240132,137.4269826,134.0861184,141.1105921,126.5087464,123.7863158,129.42375,10,10,10,64.7367847,57.59438596,73.01659539,21.74992938,20.34472136,23.43697368,142,142,142,0,0,0,0,0,0,2585,130
28706,Washington,570,3/26/20,484.3767692,463.6028289,506.5955921,136.260223,132.7025658,140.1011842,124.3315309,121.322193,127.3633553,16,16,16,22.89199021,18.71513158,28.03184211,10.14782221,8.991052632,11.43427632,158,158,158,0,0,0,0,0,0,3208,151
28707,Washington,570,3/27/20,535.5585338,515.2147368,558.8539547,144.3651369,140.6571711,148.3236842,131.8698107,128.8473684,134.8605409,24,24,24,100.8133389,91.37855263,110.7892763,27.1045015,25.88684211,28.52800439,182,182,182,0,0,0,0,0,0,3770,177
28708,Washington,570,3/28/20,540.9678725,517.9244737,563.4667105,140.655547,137.0335526,144.5886842,127.5583548,124.4255263,130.7039474,16,16,16,82.47439595,73.98875,91.82171053,22.49154518,21.43092105,23.70026316,198,198,198,0,0,0,0,0,0,4311,191
28709,Washington,570,3/29/20,535.6743657,513.6747755,558.5910526,144.6213557,140.8416447,148.5136184,131.5383451,128.4574196,134.6975,16,16,16,91.35572385,82.36828947,100.3300658,21.57264558,20.97875,22.27388158,214,214,214,0,0,0,0,0,0,4896,207
28710,Washington,570,3/30/20,579.9901879,557.2913158,603.5664474,157.7062656,154.0748684,161.8611842,143.5463385,140.4026316,146.6374342,14,14,14,114.6993239,105.1236184,125.3170395,31.96504839,30.64723684,33.35828947,228,228,228,0,0,0,0,0,0,5179,221
28711,Washington,570,3/31/20,609.8688805,587.6511842,632.41875,167.5204998,163.7978947,171.5003289,152.8894338,149.8788158,156.1478019,5,5,5,99.53218603,90.81532895,109.3594737,27.70566885,26.59473684,28.95585526,233,233,233,0,0,0,0,0,0,5292,226
28712,Washington,570,4/1/20,747.8188823,721.6303947,772.3057602,208.8936951,205.0876974,213.1824561,193.1094526,189.9841641,196.5394079,22,22,22,191.3963764,178.7182895,204.9123026,48.31718913,47.05980263,49.68157895,255,255,255,0,0,0,0,0,0,5588,249
28713,Washington,570,4/2/20,824.8266175,797.2868421,852.12125,217.1776696,212.9235526,221.8766447,200.2809861,196.7677632,203.8763523,18,18,18,116.9339166,108.1363816,127.4011184,33.93501596,32.41096491,35.45006579,273,273,273,0,0,0,0,0,0,6585,272
28714,Washington,570,4/3/20,842.4761141,815.8461184,869.8225,228.7554883,224.2972368,233.3584211,210.3962274,206.7217763,213.8661184,20,20,20,110.3779257,100.2640789,120.5423684,30.83341375,29.55263158,32.28177632,293,293,293,0,0,0,0,0,0,6966,293
28715,Washington,570,4/4/20,878.0728732,851.5042105,905.9838158,244.3563354,239.8521491,249.2374488,223.4567493,219.5701316,227.2696711,25,25,25,118.2569208,108.4994737,129.0189474,39.23808117,37.37019737,41.28973684,318,318,318,0,0,0,0,0,0,7498,318
28716,Washington,570,4/5/20,924.4055554,896.6873684,953.63,254.2364409,249.5229605,259.2484064,232.0640894,228.1192763,235.997712,22,22,22,138.3152108,127.3472368,150.6244298,38.05450539,36.64980263,39.61052632,340,340,340,0,0,0,0,0,0,7984,344
28717,Washington,570,4/6/20,859.0743541,830.3129605,886.0645395,243.7598031,238.7465789,248.6765132,220.9291692,216.8218421,224.9921711,42,42,42,42.08414807,36.24894737,48.51,16.64443661,15.26302632,18.18177632,382,382,382,0,0,0,0,0,0,8384,383
28718,Washington,570,4/7/20,791.8814536,763.2938962,818.8308553,212.1919656,207.4651974,217.1476974,189.2627545,185.3548026,193.3334284,26,26,26,46.76146689,40.24967105,54.25973684,18.18209185,16.76039474,19.87960526,408,408,408,0,0,0,0,0,0,8682,409
28719,Washington,570,4/8/20,711.2729841,685.1735526,735.8023026,209.5776002,204.6659868,214.6678947,185.4931549,181.4481579,189.7423026,24,24,24,85.18705972,77.26776316,94.68539474,28.53345684,26.87289474,30.3,432,432,432,0,0,0,0,0,0,9097,430
28720,Washington,570,4/9/20,713.5401526,689.3040132,738.8961184,208.3763941,203.4403947,213.3478947,184.8874308,180.7603947,189.0373026,26,26,26,112.3209797,102.8793421,122.0840132,27.90329538,27.04467105,28.80809211,458,458,458,0,0,0,0,0,0,9608,456
28721,Washington,570,4/10/20,677.5842144,653.4494079,702.9947807,197.1164507,192.2167105,202.2722368,173.9529207,169.9382895,178.1823026,30,30,30,73.89862522,66.29715643,81.97368421,19.23160184,18.29980263,20.29743421,488,488,488,0,0,0,0,0,0,9887,483
28722,Washington,570,4/11/20,634.8368735,612.3271053,656.9344737,188.3763275,183.2777632,193.5394956,164.0902346,159.9302339,168.3740132,9,9,9,79.07741751,70.37717105,88.90407895,22.83252235,21.61083333,24.11059211,497,497,497,0,0,0,0,0,0,10224,498
28723,Washington,570,4/12/20,630.8085391,609.3536184,653.2811184,204.1275073,199.3813158,209.1948684,179.6434996,175.354693,184.0055263,10,10,10,108.9012417,99.44717105,118.4586842,31.71622818,30.22578947,33.20539474,507,507,507,0,0,0,0,0,0,10411,511
28724,Washington,570,4/13/20,659.502296,636.8790789,682.0628289,209.5407704,204.5125,214.7019737,185.203511,180.9606067,189.5890789,19,19,19,73.97911114,65.85934211,83.15210526,21.11893195,19.90263158,22.30013158,526,526,526,0,0,0,0,0,0,10538,525
