V1,location_name,location_id,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths,cases
20784,Oregon,560,4/19/20,89.5937,80.1975,98.505,28.8795,26.89875,30.90125,24.9712,23.35,26.7,2,2,2,14.2875,10.99875,18.35,3.99145,3.55,4.6,74,74,74,0,0,0,0,0,0,1910,74
20785,Oregon,560,4/20/20,83.8374,75.4925,92.7,24.22645,22.54875,26.05125,21.2799,19.89875,22.80125,1,1,1,4.74265,3.24875,7.15,1,1,1,75,75,75,0,0,0,0,0,0,1956,75
20786,Oregon,560,4/21/20,99.75135,90.245,109.655,29.8894,28.14875,31.85125,26.5012,25.09875,28.05,3,3,3,23.65245,19.14875,28.8025,6.66295,6.05,7.4,78,78,78,0,0,0,0,0,0,2002,78
20787,Oregon,560,4/22/20,92.67875,83.69625,102.10375,26.57055,24.8,28.5,23.2688,21.85,24.85,0,0,0,0,0,0,1.0029,0.54875,1.6,78,78,78,0,0,0,0,0,0,2059,78
20788,Oregon,560,4/23/20,114.42485,104.19875,124.9,32.59665,30.84875,34.5,29.5477,28.19875,31.00125,5,5,5,33.25345,27.99875,39.95125,7.32965,7.1,7.7,83,83,83,0,0,0,0,0,0,2127,83
20789,Oregon,560,4/24/20,117.32495,102.145,145.65625,31.3519,28.2,37.7,27.9571,25.14875,34.1,3,3,3,11.55315,0,40.65625,4.08175,1.7,10.1,86,86,86,0,0,0,0,0,0,2177,86
20790,Oregon,560,4/25/20,108.41015,85.54375,165.55125,30.03165,25.05,41.3175,26.80595,22,38.4025,1,1,1,11.03155,0,37.4875,2.335,0,8,87,87,87,0,0,0,0,0,0,2253,87
20791,Oregon,560,4/26/20,106.32305,73.645,187.59375,32.5637,25.49875,49.80625,28.9989,22.14875,46.2,5,5,5,10.51925,0,36.80875,4.537,2.2,10.3025,92,92,92,0,0,0,0,0,0,2311,91
20792,Oregon,560,4/27/20,106.6507,63.89375,215.75,28.48825,18.69875,52.73375,25.2312,15.6975,48.49,0,0,0,10.0442,0,34.86125,2.90105,0,10.2025,92,92,92,0,0,0,0,0,0,2354,92
20793,Oregon,560,4/28/20,98.75735,46.39875,230.57875,29.27125,16.64875,59.93125,26.3269,14.1,56.04,7,7,7,9.44685,0,34.15875,2.7726,0,10,99,99,99,0,0,0,0,0,0,2385,99
20794,Oregon,560,4/29/20,99.9559,38.69875,255.82375,24.22145,9.0475,61.79625,21.26595,6.7,57.7875,2.443,0,8,8.8538,0,34.5025,2.61315,0,9.55875,101.443,99,107,0,0,0,0,0,0,2446,101
20795,Oregon,560,4/30/20,80.8212,13.6475,252.12125,23.5769,8.25,61.9025,20.60455,6.15,57.2025,2.335,0,8,8.2457,0,32.255,2.45655,0,9.1525,103.778,99,115,0,0,0,0,0,0,,
